image_filename,label
006316.jpg,"['Cake, chocolate']"
006331.jpg,['Sugar Melon']
006335.jpg,"['Mixed salad (chopped without sauce)', 'Salad dressing', 'Mixed seeds']"
006346.jpg,"['Chips, french fries', 'Hamburger', 'Hamburger bun', 'Salad, leaf / salad, green', 'Ketchup']"
006351.jpg,"['Pie, plum, baked, with cake dough']"
006354.jpg,"['Mixed salad (chopped without sauce)', 'Carrot, raw', 'Black olives', 'Feta', 'Oil & vinegar salad dressing', 'Cucumber']"
006458.jpg,['Pear']
006470.jpg,"[""Salad, lambs' ear"", 'Quiche, with cheese, baked, with puff pastry', 'Bacon, cooking', 'Cauliflower', 'Salad dressing']"
006483.jpg,"['Salmon', 'Leek', 'Sauce, cream', 'Tomato, raw ']"
006489.jpg,"['Avocado', 'Egg', 'Fish']"
006493.jpg,['Apple']
006497.jpg,"['Chicken, wing', 'Potatoes steamed']"
006498.jpg,['Banana']
006505.jpg,"['Coffee, with caffeine']"
006506.jpg,"['Witloof chicory', 'Ham']"
006508.jpg,"['Salad, leaf / salad, green']"
006509.jpg,"['Cenovis, yeast spread', 'Butter']"
006510.jpg,"['Butter', 'Honey']"
006511.jpg,['Milk']
006512.jpg,"['Coffee, with caffeine']"
006513.jpg,"['Thickened cream (> 35%)', 'Berries', 'Meringue']"
006514.jpg,"['Coffee, with caffeine']"
006516.jpg,"['Pizza, Margherita, baked', 'Mozzarella']"
006519.jpg,"['Biscuits', 'Almonds', 'Jam']"
006523.jpg,"['Coffee, with caffeine']"
006535.jpg,['Cheese']
006537.jpg,"['Mushrooms', 'Carrot, raw', 'Cauliflower']"
006539.jpg,"['Coffee, with caffeine']"
006540.jpg,"['Coffee, with caffeine']"
006545.jpg,"['Chips, french fries', 'Beef', 'Rice', 'Lemon']"
006548.jpg,"['White coffee, with caffeine']"
006549.jpg,"['Müesli', 'Yaourt, yahourt, yogourt ou yoghourt, natural', 'Jam']"
006552.jpg,"['Coffee, with caffeine']"
006554.jpg,['Fruit tart']
006555.jpg,['Fruit tart']
006556.jpg,"['Chinese cabbage', 'Mixed vegetables', 'Chicken, leg']"
006559.jpg,"['Salad, leaf / salad, green', 'French salad dressing']"
006560.jpg,['Panna cotta']
006563.jpg,"['Rice', 'Salami', 'Bell pepper, red, raw ']"
006610.jpg,"['Coffee, with caffeine']"
006615.jpg,['Apple']
006617.jpg,"['Chives', 'Pumpkin']"
006618.jpg,"['Salad, leaf / salad, green', 'French salad dressing']"
006621.jpg,['Mixed vegetables']
006637.jpg,"['Avocado', 'Egg', 'Tuna']"
006645.jpg,"['Cauliflower', 'Leaf spinach', 'Mixed vegetables']"
006692.jpg,"['Crackers', 'Walnut']"
006744.jpg,['Apple pie']
006747.jpg,"['Broccoli', 'Mixed vegetables', 'Fish crunchies (battered)']"
006755.jpg,['Crisps']
006759.jpg,"['French beans', 'Beef, filet']"
006778.jpg,"['Mixed vegetables', 'Couscous', 'Lentils']"
006805.jpg,"['Broccoli', 'Potatoes steamed', 'Beef, filet', 'Mixed vegetables']"
006844.jpg,"['Chorizo', 'Egg']"
006925.jpg,['Focaccia']
006930.jpg,"['Perch fillets (lake)', 'Mixed vegetables', 'Potatoes steamed']"
006932.jpg,"['Ristretto, with caffeine']"
006953.jpg,"['Hamburger (Bread, meat, ketchup)', 'Mixed salad (chopped without sauce)', 'Chips, french fries', 'Balsamic salad dressing']"
006960.jpg,"['Egg', 'Avocado', 'Mayonnaise']"
006961.jpg,"['Yaourt, yahourt, yogourt ou yoghourt, natural']"
006969.jpg,"['Coffee, with caffeine']"
006979.jpg,"['Lentils', 'Salad, leaf / salad, green']"
006980.jpg,['Hard cheese']
006981.jpg,['Hard cheese']
007050.jpg,"['Bread, rye']"
007055.jpg,"['Cake, chocolate']"
007063.jpg,"['Salad, leaf / salad, green', 'Balsamic salad dressing']"
007064.jpg,"['Fresh cheese', 'Semi-hard cheese', 'Soft cheese']"
007071.jpg,"['Bread, white']"
007085.jpg,"['Coffee, with caffeine']"
007088.jpg,"['Avocado', 'Egg']"
007089.jpg,['Banana']
007100.jpg,"['Ham, cooked', 'Carrot, raw', 'French beans', 'Lentils', 'Bell pepper, red, raw ', 'Zucchini']"
007115.jpg,"['Romanesco', 'Chicken, leg', 'Sauce (savoury)']"
007118.jpg,"['Bread, rye', 'Bread, wholemeal', 'Blue mould cheese']"
007119.jpg,"['Apple', 'Kiwi']"
007135.jpg,"['Banana', 'Apple']"
007150.jpg,"['French beans', 'Leaf spinach', 'Tuna', 'Lentils']"
007159.jpg,['Salami']
007162.jpg,"['Curry, vegetarian']"
007198.jpg,"['Soup, pumpkin']"
007200.jpg,['Potatoes steamed']
007201.jpg,"['Capers', 'Salmon']"
007203.jpg,['Apple']
007212.jpg,"['Sauce, roast']"
007217.jpg,"['Goat, (average), raw', 'Bread, wholemeal']"
007236.jpg,"['Avocado', 'Egg']"
007248.jpg,"['Mixed vegetables', 'Sausage']"
007259.jpg,"['Bread, wholemeal', 'Fresh cheese']"
007260.jpg,"['Bread, wholemeal', 'Fresh cheese']"
007283.jpg,['Orange']
007284.jpg,"['Yaourt, yahourt, yogourt ou yoghourt, natural']"
007287.jpg,['Glucose drink 50g']
007293.jpg,['Tea']
007295.jpg,"['Mixed nuts', 'Dried raisins']"
007308.jpg,"['Pasta, spaghetti', 'Hard cheese']"
007312.jpg,['Water']
007314.jpg,"['Ham, raw']"
007315.jpg,"['Bread, wholemeal']"
007319.jpg,['Water']
007345.jpg,"['Pasta, spaghetti', 'Eggplant caviar', 'Fresh cheese']"
007364.jpg,"['Bread, white']"
007365.jpg,"['Tea, green']"
007374.jpg,"['Soup, vegetable']"
007380.jpg,"['Soup, vegetable', 'Bread, whole wheat']"
007384.jpg,['Thickened cream (> 35%)']
007389.jpg,"['Wine, red']"
007394.jpg,"['Bread, wholemeal']"
007395.jpg,['Potatoes steamed']
007397.jpg,['Onion']
007416.jpg,"['Bread, white']"
007425.jpg,"['Walnut', 'Pistachio']"
007428.jpg,"['Soup, pumpkin', 'Seeds']"
007433.jpg,"['Bread, wholemeal', 'Hazelnut-chocolate spread(Nutella, Ovomaltine, Caotina)']"
007437.jpg,['Tea']
007441.jpg,"['Quinoa', 'Carrot, raw', 'Cucumber', 'Cauliflower']"
007451.jpg,"['Bread, white', 'Butter']"
007453.jpg,"['Water', 'Coffee, with caffeine']"
007460.jpg,['Mandarine']
007463.jpg,"['Fish', 'Beetroot, raw', 'Fennel']"
007465.jpg,"['Quinoa', 'Mixed vegetables']"
007473.jpg,"['Coffee, with caffeine']"
007475.jpg,"['White coffee, with caffeine']"
007476.jpg,['Pear']
007487.jpg,"['Tomme', 'Pasta, penne', 'Salmon', 'Salad, leaf / salad, green', 'Tomato, raw ', 'Lemon']"
007494.jpg,['Glucose drink 50g']
007496.jpg,"['Bread, white']"
007500.jpg,"['Bread, whole wheat', 'Bacon', 'Egg']"
007502.jpg,['Chestnuts']
007504.jpg,['Milk']
007509.jpg,"['Pasta, penne', 'Salmon']"
007511.jpg,['Rice']
007512.jpg,"['Sauce, soya']"
007513.jpg,"['Salmon', 'Fish', 'Lemon']"
